Ministry,Subcategory,LineItem,amount_thousand_isk,Year,normalized_category,amount_million_isk
31. Gjöld innanríkisráðuneytis 67 eða meira Í eigu ríkissjóðs 184,UPPGJÖR OG AFKOMA RÍKISSJÓÐS 2014,"jókst um 3,7%%, samneysla um 1,8% og fjárfesting í heild um",1.8,2014,nan,0.0018
31. Gjöld innanríkisráðuneytis 67 eða meira Í eigu ríkissjóðs 184,UPPGJÖR OG AFKOMA RÍKISSJÓÐS 2014,"13,7%. Fjárfesting hins opinbera jókst um 7,5%, í íbúðarhúsnæði",7.5,2014,nan,0.0075
31. Gjöld innanríkisráðuneytis 67 eða meira Í eigu ríkissjóðs 184,UPPGJÖR OG AFKOMA RÍKISSJÓÐS 2014,"um 14,9% og hjá atvinnuvegum um 15,1%. Heildarútflutningur",15.1,2014,nan,0.015099999999999999
31. Gjöld innanríkisráðuneytis 67 eða meira Í eigu ríkissjóðs 184,UPPGJÖR OG AFKOMA RÍKISSJÓÐS 2014,"jókst um 3,1% en á móti jókst innflutningur um 9,9%.",9.9,2014,nan,0.0099
31. Gjöld innanríkisráðuneytis 67 eða meira Í eigu ríkissjóðs 184,annarra ríkisaðila.,"og nam tekjuafgangurinn 46,4 milljörðum króna á árinu 2014",46.4,2014,nan,0.0464
31. Gjöld innanríkisráðuneytis 67 eða meira Í eigu ríkissjóðs 184,annarra ríkisaðila.,"eða um 6,7% af tekjum ársins. Árið 2013 var 0,7 milljarða króna",0.7,2014,nan,0.0007
31. Gjöld innanríkisráðuneytis 67 eða meira Í eigu ríkissjóðs 184,annarra ríkisaðila.,"tekjuhalli eða um 0,1% af tekjum ársins.",0.1,2014,nan,0.0001
31. Gjöld innanríkisráðuneytis 67 eða meira Í eigu ríkissjóðs 184,Afkoma ríkissjóðs,"hagvöxtur hér á landi nam 1,9% á árinu 2014. Er það fjórða við afgreiðslu Alþingis á fjárlögum og fjáraukalögum fyrir árið",1.9,2014,nan,0.0019
31. Gjöld innanríkisráðuneytis 67 eða meira Í eigu ríkissjóðs 184,Afkoma ríkissjóðs,"árið í röð því landsframleiðslan jókst um 3,6% árið 2013, 1,3% 2014. Yfirlit 1 sýnir fjármál ríkissjóðs árin 2014 og 2013 ásamt",1.0,2014,nan,0.001
31. Gjöld innanríkisráðuneytis 67 eða meira Í eigu ríkissjóðs 184,Afkoma ríkissjóðs,"árið 2012 og 2,4% árið 2011. Þjóðarútgjöld, sem eru ákveðinn samanburði við áætlanir fjárlaga og fjáraukalaga fyrir árið 2014.",2.4,2014,nan,0.0024
31. Gjöld innanríkisráðuneytis 67 eða meira Í eigu ríkissjóðs 184,Afkoma ríkissjóðs,"mælikvarði á innlenda eftirspurn, jukust um 5,3% á árinu 2014.",5.3,2014,nan,0.0053
31. Gjöld innanríkisráðuneytis 67 eða meira Í eigu ríkissjóðs 184,Afkoma ríkissjóðs,Yfirlit 1. Fjármál ríkissjóðs 2014 og 2013,1.0,2014,nan,0.001
31. Gjöld innanríkisráðuneytis 67 eða meira Í eigu ríkissjóðs 184,Fjárlög/,Tekjur samtals 688.894 685.459 3435 05 613.063 591.435,591435.0,2014,nan,591.435
31. Gjöld innanríkisráðuneytis 67 eða meira Í eigu ríkissjóðs 184,Fjárlög/,Gjöld samtals 642.490 642.287 202 00 612.136 592.167,592167.0,2014,nan,592.167
31. Gjöld innanríkisráðuneytis 67 eða meira Í eigu ríkissjóðs 184,Fjárlög/,Tekjur umfram gjöld 46.404 43.172 3.232 . 927 -732,732.0,2014,nan,0.732
31. Gjöld innanríkisráðuneytis 67 eða meira Í eigu ríkissjóðs 184,Fjárlög/,Frumjöfnuður 106.360 103.849 2511 . 57.437 57.212,57212.0,2014,nan,57.212
31. Gjöld innanríkisráðuneytis 67 eða meira Í eigu ríkissjóðs 184,Fjárlög/,Lánsfjárafgangur/-þörf (#/-) 78.746 40.512 38.233 . -18.899 -30.364,30364.0,2014,nan,30.364
31. Gjöld innanríkisráðuneytis 67 eða meira Í eigu ríkissjóðs 184,Fjárlög/,"Tekin lán, nettó 11.170 17.800 -6.630 . 29.000 -16.801",16801.0,2014,nan,16.801
31. Gjöld innanríkisráðuneytis 67 eða meira Í eigu ríkissjóðs 184,Fjárlög/,"Innlend lán, nettó 5.020 . - . . -12.415",12415.0,2014,nan,12.415
31. Gjöld innanríkisráðuneytis 67 eða meira Í eigu ríkissjóðs 184,Fjárlög/,"Erlend lán, nettó 6.150 . - . . -4.386",4386.0,2014,nan,4.386
31. Gjöld innanríkisráðuneytis 67 eða meira Í eigu ríkissjóðs 184,Fjárlög/,Breyting á handbæru fé 89.916 58.312 31.604 . 10.101 -47.165,47165.0,2014,nan,47.165
31. Gjöld innanríkisráðuneytis 67 eða meira Í eigu ríkissjóðs 184,"Hlutfall af vergri landsframleiðslu, %","Tekjur samtals 34,6 34,4 . . 30,8 314",314.0,2014,nan,0.314
31. Gjöld innanríkisráðuneytis 67 eða meira Í eigu ríkissjóðs 184,"Hlutfall af vergri landsframleiðslu, %","Gjöld samtals 32,2 32,2 . . 30,7 31,5",31.5,2014,nan,0.0315
31. Gjöld innanríkisráðuneytis 67 eða meira Í eigu ríkissjóðs 184,"Hlutfall af vergri landsframleiðslu, %","Tekjur umfram 23 22 . . 0,0 0,0",0.0,2014,nan,0.0
31. Gjöld innanríkisráðuneytis 67 eða meira Í eigu ríkissjóðs 184,"Hlutfall af vergri landsframleiðslu, %","Frumjöfnuður 5,3 5,2 . . 29 3,0",3.0,2014,nan,0.003
31. Gjöld innanríkisráðuneytis 67 eða meira Í eigu ríkissjóðs 184,"Hlutfall af vergri landsframleiðslu, %","Lánsfjárafgangur/-þörf (#/-) 40 20 . 8 -0,9 -1,6",1.6,2014,nan,0.0016
31. Gjöld innanríkisráðuneytis 67 eða meira Í eigu ríkissjóðs 184,"Hlutfall af vergri landsframleiðslu, %",=== PAGE 10 ===,10.0,2014,nan,0.01
31. Gjöld innanríkisráðuneytis 67 eða meira Í eigu ríkissjóðs 184,"Hlutfall af vergri landsframleiðslu, %","Yfirlitið sýnir að ríkissjóður var með 46,4 milljarða króna tekjuafgang 4,0% af landsframleiðslu samanborið við 1,6% lánsfjárþörf árið á",1.6,2014,nan,0.0016
31. Gjöld innanríkisráðuneytis 67 eða meira Í eigu ríkissjóðs 184,"Hlutfall af vergri landsframleiðslu, %","árið 2014 samanborið við 0,7 milljarða króna halla árið á undan. undan. Niðurstaðan á árinu 2014 var hagstæðari en áætlanir ársins",0.7,2014,nan,0.0007
31. Gjöld innanríkisráðuneytis 67 eða meira Í eigu ríkissjóðs 184,"Hlutfall af vergri landsframleiðslu, %","áætlanir gerðu ráð fyrir. 0,9% en áætluninni snerist í 2,0% lánsfjárafgang við samþykkt",2.0,2014,nan,0.002
31. Gjöld innanríkisráðuneytis 67 eða meira Í eigu ríkissjóðs 184,fjáraukalaga í desember sl.,"í desember árið 2013, var gert ráð fyrir 0,9 milljarða króna afgangi.",0.9,2014,nan,0.0009
31. Gjöld innanríkisráðuneytis 67 eða meira Í eigu ríkissjóðs 184,fjáraukalaga í desember sl.,"að afkoman yrði mun betri og var gert ráð fyrir afgangi upp á 43,2",43.2,2014,nan,0.0432
31. Gjöld innanríkisráðuneytis 67 eða meira Í eigu ríkissjóðs 184,fjáraukalaga í desember sl.,"milljarða króna eða um 2,2% af landsframleiðslu.",2.2,2014,nan,0.0022
31. Gjöld innanríkisráðuneytis 67 eða meira Í eigu ríkissjóðs 184,fjáraukalaga í desember sl.,"Tekjur ríkissjóðs á árinu 2014 námu 688,9 milljörðum króna og",688.9,2014,nan,0.6889
31. Gjöld innanríkisráðuneytis 67 eða meira Í eigu ríkissjóðs 184,fjáraukalaga í desember sl.,"jafngildir það 34,6% af landsframleiðslu ársins. Árið 2013 námu",34.6,2014,nan,0.0346
31. Gjöld innanríkisráðuneytis 67 eða meira Í eigu ríkissjóðs 184,fjáraukalaga í desember sl.,"Niðurstaða ársins 2014 sýnir 46,4 milljarða króna tekjuafgang tekjurnar 591,4 milljörðum króna eða 31,4% af landsframleiðslu.",31.4,2014,nan,0.0314
31. Gjöld innanríkisráðuneytis 67 eða meira Í eigu ríkissjóðs 184,fjáraukalaga í desember sl.,"eða 3,2 milljarða króna hagstæðari útkomu en gert var ráð fyrir við Hækkun tekna nam 97,5 milljörðum króna á milli ára eða um",97.5,2014,nan,0.0975
31. Gjöld innanríkisráðuneytis 67 eða meira Í eigu ríkissjóðs 184,fjáraukalaga í desember sl.,"afgreiðslu fjáraukalaga í desember sl. Tekjur ríkissjóðs reyndust 3,4 16,5%. Meðalvísitala neysluverðs hækkaði um 2,0% á milli áranna",2.0,2014,nan,0.002
31. Gjöld innanríkisráðuneytis 67 eða meira Í eigu ríkissjóðs 184,fjáraukalaga í desember sl.,"milljörðum króna hærri en áætlað var á þeim tíma en fjáraukalög 2013 og 2014, þannig að tekjurnar hækkuðu um 14,2% að",14.2,2014,nan,0.014199999999999999
31. Gjöld innanríkisráðuneytis 67 eða meira Í eigu ríkissjóðs 184,fjáraukalaga í desember sl.,"fólu í sér verulega hækkun tekna frá fjárlögum ársins eða um 72,4 raungildi á milli ára.",72.4,2014,nan,0.0724
31. Gjöld innanríkisráðuneytis 67 eða meira Í eigu ríkissjóðs 184,fjáraukalaga í desember sl.,"685,5 milljarðar króna. Útkoma ársins reyndist því 3,4 milljörðum",3.4,2014,nan,0.0034
31. Gjöld innanríkisráðuneytis 67 eða meira Í eigu ríkissjóðs 184,fjáraukalaga í desember sl.,"króna hærri en sú áætlun gerði ráð fyrir eða um 0,5%. Hækkun",0.5,2014,nan,0.0005
31. Gjöld innanríkisráðuneytis 67 eða meira Í eigu ríkissjóðs 184,fjáraukalaga í desember sl.,"30,2 milljarða króna frá fjárlögum ársins.",30.2,2014,nan,0.030199999999999998
31. Gjöld innanríkisráðuneytis 67 eða meira Í eigu ríkissjóðs 184,fjáraukalaga í desember sl.,"og fjármagnstekjum, var jákvæður um 106,4 milljarða króna á árinu fjárlögum ársins eða um 72,4 milljarða króna. Helstu breytingar fólust",72.4,2014,nan,0.0724
31. Gjöld innanríkisráðuneytis 67 eða meira Í eigu ríkissjóðs 184,fjáraukalaga í desember sl.,"2014 en árið á undan var hann jákvæður um 57,2 milljarða króna. í hækkun tekna af tekjusköttum einstaklinga um 8,4 milljarða króna,",8.4,2014,nan,0.008400000000000001
31. Gjöld innanríkisráðuneytis 67 eða meira Í eigu ríkissjóðs 184,fjáraukalaga í desember sl.,"Afkoman á þennan mælikvarða batnaði því um 49,1 milljarð króna tekjusköttum lögaðila um 19,4 milljarða króna, fjármagnstekjuskatts",19.4,2014,nan,0.019399999999999997
31. Gjöld innanríkisráðuneytis 67 eða meira Í eigu ríkissjóðs 184,fjáraukalaga í desember sl.,"á milli ára. Sem hlutfall af landsframleiðslu var frumjöfnuðurinn um 8,0 milljarða króna og arðgreiðslna fjármálastofnana um 40,4",40.4,2014,nan,0.0404
31. Gjöld innanríkisráðuneytis 67 eða meira Í eigu ríkissjóðs 184,fjáraukalaga í desember sl.,"jákvæður um 5,3% árið 2014 samanborið við 3,0% árið 2013. Við milljarða króna. Þegar fjáraukalög voru samþykkt í desember lágu",3.0,2014,nan,0.003
31. Gjöld innanríkisráðuneytis 67 eða meira Í eigu ríkissjóðs 184,fjáraukalaga í desember sl.,"jákvæður um 103,8 milljarða króna, um 5,2% af landsframleiðslu.",5.2,2014,nan,0.0052
31. Gjöld innanríkisráðuneytis 67 eða meira Í eigu ríkissjóðs 184,fjáraukalaga í desember sl.,Yfirlit 2 sýnir útkomu tekna ríkissjóðs samanborið við upphaflega,2.0,2014,nan,0.002
31. Gjöld innanríkisráðuneytis 67 eða meira Í eigu ríkissjóðs 184,fjáraukalaga í desember sl.,Yfirlit 2. Samanburður útkomu og áætlana um tekjur ríkissjóðs á árinu 2014,2.0,2014,nan,0.002
31. Gjöld innanríkisráðuneytis 67 eða meira Í eigu ríkissjóðs 184,2014 2014 Frávik 2014 Frávik,Skatttekjur og tryggingagjöld 601.814 560.487 41.327 595.035 6.780,6780.0,2014,nan,6.78
31. Gjöld innanríkisráðuneytis 67 eða meira Í eigu ríkissjóðs 184,2014 2014 Frávik 2014 Frávik,Tekjuskattur einstaklinga 119.377 111.700 7.677 120.100 -723,723.0,2014,nan,0.723
31. Gjöld innanríkisráðuneytis 67 eða meira Í eigu ríkissjóðs 184,2014 2014 Frávik 2014 Frávik,tekjuskattur lögaðila 72.646 45.600 27.046 65.000 7.646,7646.0,2014,nan,7.646
31. Gjöld innanríkisráðuneytis 67 eða meira Í eigu ríkissjóðs 184,2014 2014 Frávik 2014 Frávik,Skattur á fjármagnstekjur 30.564 25.270 5.294 33.270 -2.706,2706.0,2014,nan,2.706
31. Gjöld innanríkisráðuneytis 67 eða meira Í eigu ríkissjóðs 184,2014 2014 Frávik 2014 Frávik,Eignarskattar 17.455 16.770 684 17.333 122,122.0,2014,nan,0.122
31. Gjöld innanríkisráðuneytis 67 eða meira Í eigu ríkissjóðs 184,2014 2014 Frávik 2014 Frávik,Virðisaukaskattur 159.934 160.000 -66 160.000 -66,66.0,2014,nan,0.066
31. Gjöld innanríkisráðuneytis 67 eða meira Í eigu ríkissjóðs 184,2014 2014 Frávik 2014 Frávik,Vörugjöld 57.521 58.262 -741 57.593 -72,72.0,2014,nan,0.072
31. Gjöld innanríkisráðuneytis 67 eða meira Í eigu ríkissjóðs 184,2014 2014 Frávik 2014 Frávik,Sérstakur skattur á fjármálafyrirtæki 36.472 38.450 -1.978 34.650 1822,34650.0,2014,nan,34.65
31. Gjöld innanríkisráðuneytis 67 eða meira Í eigu ríkissjóðs 184,2014 2014 Frávik 2014 Frávik,Aðrir skattar 34.413 31.618 2.795 33.098 1315,33098.0,2014,nan,33.098
31. Gjöld innanríkisráðuneytis 67 eða meira Í eigu ríkissjóðs 184,2014 2014 Frávik 2014 Frávik,Tryggingagjöld 73.432 72.816 616 73.991 -559,559.0,2014,nan,0.559
31. Gjöld innanríkisráðuneytis 67 eða meira Í eigu ríkissjóðs 184,2014 2014 Frávik 2014 Frávik,Aðrar tekjur 82.518 49.892 32.626 87.778 -5.260,5260.0,2014,nan,5.26
31. Gjöld innanríkisráðuneytis 67 eða meira Í eigu ríkissjóðs 184,2014 2014 Frávik 2014 Frávik,Vaxtatekjur 18.598 18.996 -398 18.098 500,500.0,2014,nan,0.5
31. Gjöld innanríkisráðuneytis 67 eða meira Í eigu ríkissjóðs 184,2014 2014 Frávik 2014 Frávik,Arögreiðslur 44.128 11.106 33.022 51.865 -.137,137.0,2014,nan,0.137
31. Gjöld innanríkisráðuneytis 67 eða meira Í eigu ríkissjóðs 184,2014 2014 Frávik 2014 Frávik,Annað 19.792 19.790 3 17.815 1.977,1977.0,2014,nan,1.977
31. Gjöld innanríkisráðuneytis 67 eða meira Í eigu ríkissjóðs 184,2014 2014 Frávik 2014 Frávik,Fjárframlög 2.343 1.384 959 1.426 918,918.0,2014,nan,0.918
31. Gjöld innanríkisráðuneytis 67 eða meira Í eigu ríkissjóðs 184,2014 2014 Frávik 2014 Frávik,Sala efnislegra eigna 962 1.200 -238 1.120 -158,158.0,2014,nan,0.158
31. Gjöld innanríkisráðuneytis 67 eða meira Í eigu ríkissjóðs 184,2014 2014 Frávik 2014 Frávik,Tekjur af peningalegum eignum 1.256 100 1.156 100 1.156,1156.0,2014,nan,1.156
31. Gjöld innanríkisráðuneytis 67 eða meira Í eigu ríkissjóðs 184,2014 2014 Frávik 2014 Frávik,Tekjur ríkissjóðs samtals 688.894 613.063 75.831 685.459 3.435,3435.0,2014,nan,3.435
31. Gjöld innanríkisráðuneytis 67 eða meira Í eigu ríkissjóðs 184,2014 2014 Frávik 2014 Frávik,=== PAGE 11 ===,11.0,2014,nan,0.011
31. Gjöld innanríkisráðuneytis 67 eða meira Í eigu ríkissjóðs 184,2014 2014 Frávik 2014 Frávik,"var rakin til aukinnar vinnuaflseftirspurnar og hækkunar á 35,4 milljarða króna, arðgreiðslum frá fjármálastofnunum um",35.4,2014,nan,0.0354
31. Gjöld innanríkisráðuneytis 67 eða meira Í eigu ríkissjóðs 184,2014 2014 Frávik 2014 Frávik,"launavísitölunni. Auknar tekjur af tekjuskatti lögaðila voru byggðar 28,4 milljarða króna, tekjuskatti lögaðila um 27,4 milljarða króna,",27.4,2014,nan,0.027399999999999997
31. Gjöld innanríkisráðuneytis 67 eða meira Í eigu ríkissjóðs 184,2014 2014 Frávik 2014 Frávik,"á álagningu opinberra gjalda í októberlok, þar af var sérstakur virðisaukaskatti um 11,2 milljarða króna og almennu tryggingagjaldi",11.2,2014,nan,0.0112
31. Gjöld innanríkisráðuneytis 67 eða meira Í eigu ríkissjóðs 184,2014 2014 Frávik 2014 Frávik,"fjársýsluskattur 11,1 milljarður króna. Þetta var annað árið sem um 10,6 milljarða króna. Af hækkun tekjuskatts lögaðila skýrast",10.6,2014,nan,0.0106
31. Gjöld innanríkisráðuneytis 67 eða meira Í eigu ríkissjóðs 184,2014 2014 Frávik 2014 Frávik,"sá skattur er lagður á, en þó í fyrsta skipti sem hann var lagður á 11,3 milljarðar króna af sérstökum fjársýsluskatti. Lækkun",11.3,2014,nan,0.011300000000000001
