Ministry,Subcategory,LineItem,amount_thousand_isk,Year,normalized_category,amount_million_isk
Inngangsorð fjármálaráðherra 5 38. Gjöld umhverfisráðuneytis 69,,23. Sala efnislegra eigna 46 13. Ríkisbréf 158,158.0,2009,nan,0.158
Inngangsorð fjármálaráðherra 5 38. Gjöld umhverfisráðuneytis 69,,24. Tekjur af peningalegum eignum 46 14. Lánaendurgreiðslur út lánstímann 159,159.0,2009,nan,0.159
Inngangsorð fjármálaráðherra 5 38. Gjöld umhverfisráðuneytis 69,,25. Gjöld A-hluta ríkissjóðs 47,47.0,2009,nan,0.047
Inngangsorð fjármálaráðherra 5 38. Gjöld umhverfisráðuneytis 69,,26. Gjöld æðstu stjórnar ríksins sl Lykiltölur úr ársteikningum utan A-hluta 161,161.0,2009,nan,0.161
33. Gjöld heilbrigðisráðuneytis 60 eða meira Í eigu ríkissjóðs 166,,=== PAGE 5 ===,5.0,2009,nan,0.005
33. Gjöld heilbrigðisráðuneytis 60 eða meira Í eigu ríkissjóðs 166,,=== PAGE 6 ===,6.0,2009,nan,0.006
33. Gjöld heilbrigðisráðuneytis 60 eða meira Í eigu ríkissjóðs 166,INNGANGSORÐ FJÁRMÁLARÁÐHERRA,Ríkisreikningur fyrir árið 2009 liggur nú fyrir. Niðurstaðan sýnir Aðrar tekjur en skatttekjur voru rúmum 3 milljörðum undir áætlun-,3.0,2009,nan,0.003
33. Gjöld heilbrigðisráðuneytis 60 eða meira Í eigu ríkissjóðs 166,INNGANGSORÐ FJÁRMÁLARÁÐHERRA,"að erfiðar en nauðsynlegar aðhaldsaðgerðir í ríkisfjármálum á síð- um, sem skýrist að mestu með því að vaxtatekjur voru 4 milljörðum",4.0,2009,nan,0.004
33. Gjöld heilbrigðisráðuneytis 60 eða meira Í eigu ríkissjóðs 166,INNGANGSORÐ FJÁRMÁLARÁÐHERRA,markmið voru sett í ríkisfjármálum og þeim hefur verið fylgt eftir einstaki tekjuliðurinn og skilar hann 28% af tekjunum. Þá skila,28.0,2009,nan,0.028
33. Gjöld heilbrigðisráðuneytis 60 eða meira Í eigu ríkissjóðs 166,INNGANGSORÐ FJÁRMÁLARÁÐHERRA,"með stífum en öguðum aðhaldsaðgerðum, lækkun ríkisútgjalda, tekjuskattar einstaklinga 20% af tekjum.",20.0,2009,nan,0.02
33. Gjöld heilbrigðisráðuneytis 60 eða meira Í eigu ríkissjóðs 166,INNGANGSORÐ FJÁRMÁLARÁÐHERRA,Gjöld ríkissjóðs reyndust 579 milljarðar króna en árið 2008 námu,579.0,2009,nan,0.579
33. Gjöld heilbrigðisráðuneytis 60 eða meira Í eigu ríkissjóðs 166,INNGANGSORÐ FJÁRMÁLARÁÐHERRA,þau 688 milljörðum króna. Heildarútgjaldaheimildir hljóðuðu upp á,688.0,2009,nan,0.688
33. Gjöld heilbrigðisráðuneytis 60 eða meira Í eigu ríkissjóðs 166,INNGANGSORÐ FJÁRMÁLARÁÐHERRA,590 milljarða króna og því voru raunútgjöld tæpum 12 milljörðum,12.0,2009,nan,0.012
33. Gjöld heilbrigðisráðuneytis 60 eða meira Í eigu ríkissjóðs 166,INNGANGSORÐ FJÁRMÁLARÁÐHERRA,allt þetta undirstaðan að þeim árangri sem náðst hefur. Skýr merki vega rúmlega 51% í útgjöldum ríkissjóðs á árinu 2009. Gjöld til,51.0,2009,nan,0.051
33. Gjöld heilbrigðisráðuneytis 60 eða meira Í eigu ríkissjóðs 166,INNGANGSORÐ FJÁRMÁLARÁÐHERRA,eru nú komin fram um verulegan bata með jafnvel betri afkomu rík- almannatrygginga og velferðarmála námu 135 milljörðum króna,135.0,2009,nan,0.135
33. Gjöld heilbrigðisráðuneytis 60 eða meira Í eigu ríkissjóðs 166,INNGANGSORÐ FJÁRMÁLARÁÐHERRA,issjóðs en áætlanir gerðu ráð fyrir. Enn er þó við mikinn hallarekstur eða 23% af gjöldum ríkissjóðs. Útgjöld til þessa málaflokks voru,23.0,2009,nan,0.023
33. Gjöld heilbrigðisráðuneytis 60 eða meira Í eigu ríkissjóðs 166,INNGANGSORÐ FJÁRMÁLARÁÐHERRA,að glíma sem er bein afleiðing þess algera hruns sem varð í afkomu 3 milljörðum lægri en heildarfjárheimild gerði ráð fyrir. Útgjöld til,3.0,2009,nan,0.003
33. Gjöld heilbrigðisráðuneytis 60 eða meira Í eigu ríkissjóðs 166,INNGANGSORÐ FJÁRMÁLARÁÐHERRA,ríkisins á árinu 2008. Framundan er áframhaldandi og erfið glíma heilbrigðismála námu 117 milljörðum króna eða 20% af gjöldum,20.0,2009,nan,0.02
33. Gjöld heilbrigðisráðuneytis 60 eða meira Í eigu ríkissjóðs 166,INNGANGSORÐ FJÁRMÁLARÁÐHERRA,við að vinna að fullu bug á hallarekstrinum á næstu þremur árum ríkissjóðs og voru tæpum 3 milljörðum yfir fjárheimildum ársins.,3.0,2009,nan,0.003
33. Gjöld heilbrigðisráðuneytis 60 eða meira Í eigu ríkissjóðs 166,að málinu koma.,Útgjöld til efnahags- og atvinnumála námu 69 milljörðum króna eða,69.0,2009,nan,0.069
33. Gjöld heilbrigðisráðuneytis 60 eða meira Í eigu ríkissjóðs 166,að málinu koma.,12% af heildargjöldum ríkissjóðs en þar vega þyngst 26 milljarða,26.0,2009,nan,0.026
33. Gjöld heilbrigðisráðuneytis 60 eða meira Í eigu ríkissjóðs 166,króna framlög til vegasamgangna.,Gjöld til menntamála námu 46 milljörðum króna eða 8% af gjöldum,8.0,2009,nan,0.008
33. Gjöld heilbrigðisráðuneytis 60 eða meira Í eigu ríkissjóðs 166,króna framlög til vegasamgangna.,ríkissjóðs. Gjöld vegna óreglulegra útgjalda námu 36 milljörðum,36.0,2009,nan,0.036
33. Gjöld heilbrigðisráðuneytis 60 eða meira Í eigu ríkissjóðs 166,króna framlög til vegasamgangna.,króna eða 6% af gjöldum ríkissjóðs en þessi þáttur sveiflast verulega,6.0,2009,nan,0.006
33. Gjöld heilbrigðisráðuneytis 60 eða meira Í eigu ríkissjóðs 166,króna framlög til vegasamgangna.,neikvæður um 173 milljarða króna og var því raunútkoman 34 millj-,34.0,2009,nan,0.034
33. Gjöld heilbrigðisráðuneytis 60 eða meira Í eigu ríkissjóðs 166,króna framlög til vegasamgangna.,Rekstrarreikningur sýnir 139 milljarða króna tekjuhalla eða 32% af,32.0,2009,nan,0.032
33. Gjöld heilbrigðisráðuneytis 60 eða meira Í eigu ríkissjóðs 166,króna framlög til vegasamgangna.,"tekjum ársins og 9,3% af landsframleiðslu. Þessi munur skýrist með",9.3,2009,nan,0.009300000000000001
33. Gjöld heilbrigðisráðuneytis 60 eða meira Í eigu ríkissjóðs 166,króna framlög til vegasamgangna.,"því að tekjurnar voru 22 milljörðum króna hærri en gert var ráð fyrir,",22.0,2009,nan,0.022
33. Gjöld heilbrigðisráðuneytis 60 eða meira Í eigu ríkissjóðs 166,króna framlög til vegasamgangna.,og gjöldin voru 12 milljörðum króna lægri. króna lægri en gert var ráð fyrir í áætlunum. Gjöld til annarra mála-,12.0,2009,nan,0.012
33. Gjöld heilbrigðisráðuneytis 60 eða meira Í eigu ríkissjóðs 166,króna framlög til vegasamgangna.,flokka námu samtals 92 milljörðum króna eða 16% af gjöldum rík-,16.0,2009,nan,0.016
33. Gjöld heilbrigðisráðuneytis 60 eða meira Í eigu ríkissjóðs 166,króna framlög til vegasamgangna.,"til menningar, íþrótta og trúmála 19 milljarðar og til löggæslu- og",19.0,2009,nan,0.019
33. Gjöld heilbrigðisráðuneytis 60 eða meira Í eigu ríkissjóðs 166,króna framlög til vegasamgangna.,öryggismála 21 milljarður króna.,21.0,2009,nan,0.021
33. Gjöld heilbrigðisráðuneytis 60 eða meira Í eigu ríkissjóðs 166,frá einu ári til annars.,Fjármagnskostnaður ríkissjóðs nam 84 milljörðum króna á árinu,84.0,2009,nan,0.084
33. Gjöld heilbrigðisráðuneytis 60 eða meira Í eigu ríkissjóðs 166,frá einu ári til annars.,"2009 sem er veruleg aukning frá fyrra ári, en er rúmum 5 milljörðum",5.0,2009,nan,0.005
33. Gjöld heilbrigðisráðuneytis 60 eða meira Í eigu ríkissjóðs 166,frá einu ári til annars.,Tekjur ársins urðu alls 440 milljarðar króna sem jafngilda 29% af,29.0,2009,nan,0.029
33. Gjöld heilbrigðisráðuneytis 60 eða meira Í eigu ríkissjóðs 166,frá einu ári til annars.,landsframleiðslu ársins. Árið 2008 námu þær 472 milljörðum króna,472.0,2009,nan,0.472
33. Gjöld heilbrigðisráðuneytis 60 eða meira Í eigu ríkissjóðs 166,frá einu ári til annars.,eða 32% af landsframleiðslu þess árs. Tekjuáætlun fyrir árið 2009,32.0,2009,nan,0.032
33. Gjöld heilbrigðisráðuneytis 60 eða meira Í eigu ríkissjóðs 166,frá einu ári til annars.,gerði hins vegar ráð fyrir tekjum að upphæð 417 milljörðum króna.,417.0,2009,nan,0.417
33. Gjöld heilbrigðisráðuneytis 60 eða meira Í eigu ríkissjóðs 166,frá einu ári til annars.,sem reyndust rúmum 10 milljörðum hærri en gert var ráð fyrir. Þá,10.0,2009,nan,0.01
33. Gjöld heilbrigðisráðuneytis 60 eða meira Í eigu ríkissjóðs 166,frá einu ári til annars.,reyndust skattar á tekjur og hagnað einstaklinga tæpum 4 milljörð-,4.0,2009,nan,0.004
33. Gjöld heilbrigðisráðuneytis 60 eða meira Í eigu ríkissjóðs 166,frá einu ári til annars.,"um króna hærri, tryggingagjöld 4 milljörðum og fjármagnstekjur 3",3.0,2009,nan,0.003
33. Gjöld heilbrigðisráðuneytis 60 eða meira Í eigu ríkissjóðs 166,frá einu ári til annars.,"milljörðum króna. Virðisaukaskattur er 1,6 milljörðum króna umfram",1.6,2009,nan,0.0016
33. Gjöld heilbrigðisráðuneytis 60 eða meira Í eigu ríkissjóðs 166,frá einu ári til annars.,áætlanir og eignarskattar tæpum 500 milljónum króna hærri. Allir,500.0,2009,nan,0.5
33. Gjöld heilbrigðisráðuneytis 60 eða meira Í eigu ríkissjóðs 166,Slagrð jr,Lánsfjárþörf reyndist mun minni en lagt var upp með eða 11%,11.0,2009,nan,0.011
33. Gjöld heilbrigðisráðuneytis 60 eða meira Í eigu ríkissjóðs 166,Slagrð jr,af landsframleiðslu samanborið við 25% í áætlun. Það skýrist að,25.0,2009,nan,0.025
33. Gjöld heilbrigðisráðuneytis 60 eða meira Í eigu ríkissjóðs 166,Slagrð jr,um kaup bankans á veðlána- og verðbréfakröfum fyrir 134 milljarða,134.0,2009,nan,0.134
33. Gjöld heilbrigðisráðuneytis 60 eða meira Í eigu ríkissjóðs 166,Slagrð jr,króna. Nýjar lántökur námu tæpum 200 milljörðum króna umfram af-,200.0,2009,nan,0.2
33. Gjöld heilbrigðisráðuneytis 60 eða meira Í eigu ríkissjóðs 166,Slagrð jr,borganir. Greiðslustaða ríkissjóðs er sterk og batnaði um 42 milljarða,42.0,2009,nan,0.042
33. Gjöld heilbrigðisráðuneytis 60 eða meira Í eigu ríkissjóðs 166,Slagrð jr,króna á árinu 2009. Í árslok var handbært fé 227 milljarðar króna.,227.0,2009,nan,0.227
33. Gjöld heilbrigðisráðuneytis 60 eða meira Í eigu ríkissjóðs 166,Slagrð jr,=== PAGE 7 ===,7.0,2009,nan,0.007
33. Gjöld heilbrigðisráðuneytis 60 eða meira Í eigu ríkissjóðs 166,Slagrð jr,=== PAGE 8 ===,8.0,2009,nan,0.008
33. Gjöld heilbrigðisráðuneytis 60 eða meira Í eigu ríkissjóðs 166,UPPGJÖR OG AFKOMA RÍKISSJÓÐS 2009,"Ríkisreikningur er settur fram í samræmi við lög nr. 88/1997 um fjár- 216,0 milljarða króna halli eða um 45,8% af tekjum ársins. Seinni",45.8,2009,nan,0.0458
33. Gjöld heilbrigðisráðuneytis 60 eða meira Í eigu ríkissjóðs 166,UPPGJÖR OG AFKOMA RÍKISSJÓÐS 2009,"mælikvarða landsframleiðslunnar var neikvæður um 6,5% á árinu",6.5,2009,nan,0.0065
33. Gjöld heilbrigðisráðuneytis 60 eða meira Í eigu ríkissjóðs 166,UPPGJÖR OG AFKOMA RÍKISSJÓÐS 2009,"Einkaneysla dróst saman um 14,6%, samneysla um 3,0% og",3.0,2009,nan,0.003
33. Gjöld heilbrigðisráðuneytis 60 eða meira Í eigu ríkissjóðs 166,"atvinnuleysisbóta, fjármagnskostnað samhliða aukinni skuldasöfnun","Rekstrarreikningur ríkissjóðs fyrir árið 2009 sýnir 139,3 milljarða , ,",139.3,2009,nan,0.1393
33. Gjöld heilbrigðisráðuneytis 60 eða meira Í eigu ríkissjóðs 166,"atvinnuleysisbóta, fjármagnskostnað samhliða aukinni skuldasöfnun","króna tekjuhalla eða um 31,7% af tekjum ársins. Árið 2008 var",31.7,2009,nan,0.0317
33. Gjöld heilbrigðisráðuneytis 60 eða meira Í eigu ríkissjóðs 166,"atvinnuleysisbóta, fjármagnskostnað samhliða aukinni skuldasöfnun",Yfirlit 1. Fjármál ríkissjóðs 2009 og 2008,1.0,2009,nan,0.001
33. Gjöld heilbrigðisráðuneytis 60 eða meira Í eigu ríkissjóðs 166,Reikningur Fjáraukalög Frávik Reikningur,"Tekjur samtals 439.516 417.286 22.230 5,3 471.883",471883.0,2009,nan,471.883
33. Gjöld heilbrigðisráðuneytis 60 eða meira Í eigu ríkissjóðs 166,Reikningur Fjáraukalög Frávik Reikningur,Gjöld samtals 578.780 568.620 10.160 18 687.862,687862.0,2009,nan,687.862
33. Gjöld heilbrigðisráðuneytis 60 eða meira Í eigu ríkissjóðs 166,Reikningur Fjáraukalög Frávik Reikningur,Tekjur umfram gjöld -139.264 -151.334 12.070 - -215.979,215979.0,2009,nan,215.979
33. Gjöld heilbrigðisráðuneytis 60 eða meira Í eigu ríkissjóðs 166,Reikningur Fjáraukalög Frávik Reikningur,"Lánsfjárafgangur/lánsfjárþörf, nettó (#/-) -157.384 -367.732 210.347 . -397.999",397999.0,2009,nan,397.999
33. Gjöld heilbrigðisráðuneytis 60 eða meira Í eigu ríkissjóðs 166,Reikningur Fjáraukalög Frávik Reikningur,"Tekin lán, nettó 199.501 375.000 | -175.499 - 454.334",454334.0,2009,nan,454.334
33. Gjöld heilbrigðisráðuneytis 60 eða meira Í eigu ríkissjóðs 166,Reikningur Fjáraukalög Frávik Reikningur,Innlend lán 178.983 A i . 426.414,426414.0,2009,nan,426.414
33. Gjöld heilbrigðisráðuneytis 60 eða meira Í eigu ríkissjóðs 166,Reikningur Fjáraukalög Frávik Reikningur,Erlend lán 20.518 A i . 27.920,27920.0,2009,nan,27.92
33. Gjöld heilbrigðisráðuneytis 60 eða meira Í eigu ríkissjóðs 166,Reikningur Fjáraukalög Frávik Reikningur,Breyting á handbæru fé 42.117 7.269 34.848 - 56.335,56335.0,2009,nan,56.335
33. Gjöld heilbrigðisráðuneytis 60 eða meira Í eigu ríkissjóðs 166,"Hlutfall af vergri landframleiðslu, %","Tekjur samtals 29,3 27,8 . . 31,9",31.9,2009,nan,0.0319
33. Gjöld heilbrigðisráðuneytis 60 eða meira Í eigu ríkissjóðs 166,"Hlutfall af vergri landframleiðslu, %","Gjöld samtals 38,6 37,9 . . 46,6",46.6,2009,nan,0.0466
33. Gjöld heilbrigðisráðuneytis 60 eða meira Í eigu ríkissjóðs 166,"Hlutfall af vergri landframleiðslu, %","Tekjur umfram gjöld -9,3 -10,1 . - -14,6",14.6,2009,nan,0.0146
33. Gjöld heilbrigðisráðuneytis 60 eða meira Í eigu ríkissjóðs 166,"Hlutfall af vergri landframleiðslu, %","Lánsfjárafgangur/lánsfjárþörf, nettó (#/-) -10,5 -24,5 - . -26,9",26.9,2009,nan,0.0269
33. Gjöld heilbrigðisráðuneytis 60 eða meira Í eigu ríkissjóðs 166,"Hlutfall af vergri landframleiðslu, %",=== PAGE 9 ===,9.0,2009,nan,0.009
33. Gjöld heilbrigðisráðuneytis 60 eða meira Í eigu ríkissjóðs 166,"Hlutfall af vergri landframleiðslu, %","Yfirlitið sýnir að í heild var afkoma ríkissjóðs með töluverðum halla en sem reyndust um 4,2 milljarða króna lægri en áætlað var.",4.2,2009,nan,0.004200000000000001
33. Gjöld heilbrigðisráðuneytis 60 eða meira Í eigu ríkissjóðs 166,"Hlutfall af vergri landframleiðslu, %","hann er þó ívið minni en áætlanir frá í desember 2009 gerðu ráð fyrir. Tekjur ríkissjóðs á árinu 2009 að fjárhæð 439,5 milljörðum króna",439.5,2009,nan,0.4395
33. Gjöld heilbrigðisráðuneytis 60 eða meira Í eigu ríkissjóðs 166,"Hlutfall af vergri landframleiðslu, %","Tekjuhallinn reyndist 9,3% af landsframleiðslu sem var lítils jafngilda 29,3% af landsframleiðslu ársins. Árið 2008 námu",29.3,2009,nan,0.0293
33. Gjöld heilbrigðisráðuneytis 60 eða meira Í eigu ríkissjóðs 166,"Hlutfall af vergri landframleiðslu, %","háttar hagstæðara en ráð var fyrir gert. Lánsfjárþörfin reyndist hins tekjurnar 471,9 milljörðum króna eða 31,9% af landsframleiðslunni.",31.9,2009,nan,0.0319
33. Gjöld heilbrigðisráðuneytis 60 eða meira Í eigu ríkissjóðs 166,"Hlutfall af vergri landframleiðslu, %","vegar töluvert minni en áætlað var eða 10,5% af landsframleiðslu Lækkun tekna á milli ára nam 32,4 milljörðum króna eða um 6,9%.",6.9,2009,nan,0.006900000000000001
33. Gjöld heilbrigðisráðuneytis 60 eða meira Í eigu ríkissjóðs 166,"Hlutfall af vergri landframleiðslu, %","samborið við 24,5%. Þau frávik skýrast að stærstum hluta af Meðalvísitala neysluverðs hækkaði um 12,0% á milli áranna 2008",12.0,2009,nan,0.012
33. Gjöld heilbrigðisráðuneytis 60 eða meira Í eigu ríkissjóðs 166,"Hlutfall af vergri landframleiðslu, %","samkomulagi ríkissjóðs við Seðlabanka Íslands um kaup bankans á og 2009, þannig að tekjurnar lækkuðu um 16,8% að raungildi.",16.8,2009,nan,0.016800000000000002
33. Gjöld heilbrigðisráðuneytis 60 eða meira Í eigu ríkissjóðs 166,"Hlutfall af vergri landframleiðslu, %","veðlána- og verðbréfakröfum fyrir 134,0 milljarða króna. Lántökur",134.0,2009,nan,0.134
33. Gjöld heilbrigðisráðuneytis 60 eða meira Í eigu ríkissjóðs 166,"Hlutfall af vergri landframleiðslu, %","ríkissjóðs voru því mun minni en ella. Nýjar lántökur námu 199,5",199.5,2009,nan,0.1995
33. Gjöld heilbrigðisráðuneytis 60 eða meira Í eigu ríkissjóðs 166,"Hlutfall af vergri landframleiðslu, %","milljörðum króna umfram afborganir, þar af var aflað 179,0 milljarða",179.0,2009,nan,0.179
33. Gjöld heilbrigðisráðuneytis 60 eða meira Í eigu ríkissjóðs 166,"Hlutfall af vergri landframleiðslu, %","í tryggingagjöldum eða um 4,3 milljarða króna, vaxtatekjum um",4.3,2009,nan,0.0043
33. Gjöld heilbrigðisráðuneytis 60 eða meira Í eigu ríkissjóðs 166,"Hlutfall af vergri landframleiðslu, %","2,3 milljarða króna, vörugjöldum af áfengi um 1,6 milljarða króna",1.6,2009,nan,0.0016
33. Gjöld heilbrigðisráðuneytis 60 eða meira Í eigu ríkissjóðs 166,"Hlutfall af vergri landframleiðslu, %","og vörugjöldum af bensíni og olíuvörum um 1,6 milljarða króna.",1.6,2009,nan,0.0016
33. Gjöld heilbrigðisráðuneytis 60 eða meira Í eigu ríkissjóðs 166,"Hlutfall af vergri landframleiðslu, %","innanlands og 20,5 milljarða erlendis. Greiðslustaða ríkissjóðs",20.5,2009,nan,0.0205
33. Gjöld heilbrigðisráðuneytis 60 eða meira Í eigu ríkissjóðs 166,"Hlutfall af vergri landframleiðslu, %","er sterk, batnaði um 42,3 milljarða króna á árinu 2009. Í árslok",42.3,2009,nan,0.0423
33. Gjöld heilbrigðisráðuneytis 60 eða meira Í eigu ríkissjóðs 166,"Hlutfall af vergri landframleiðslu, %","var handbært fé 226,5 milljarðar króna, þar af eru innstæður á",226.5,2009,nan,0.2265
33. Gjöld heilbrigðisráðuneytis 60 eða meira Í eigu ríkissjóðs 166,"Hlutfall af vergri landframleiðslu, %","16,3 milljarða króna, virðisaukaskatti um 13,0 milljarða króna,",13.0,2009,nan,0.013
33. Gjöld heilbrigðisráðuneytis 60 eða meira Í eigu ríkissjóðs 166,"Hlutfall af vergri landframleiðslu, %","bankareikningum í Seðlabanka um 163,1 milljarðar króna.",163.1,2009,nan,0.1631
33. Gjöld heilbrigðisráðuneytis 60 eða meira Í eigu ríkissjóðs 166,"Hlutfall af vergri landframleiðslu, %","vörugjaldi af ökutækjum um 5,2 milljarða króna, tekjusköttum",5.2,2009,nan,0.0052
33. Gjöld heilbrigðisráðuneytis 60 eða meira Í eigu ríkissjóðs 166,"Hlutfall af vergri landframleiðslu, %","Tekjuhalli ríkissjóðs á árinu 2009 að fjárhæð 139,3 milljarðar einstaklinga og lögaðila um 6,7 milljarða króna og stimpilgjöldum",6.7,2009,nan,0.0067
33. Gjöld heilbrigðisráðuneytis 60 eða meira Í eigu ríkissjóðs 166,"Hlutfall af vergri landframleiðslu, %","króna svarar til 9,3% af landsframleiðslu ársins samanborið við um 2,7 milljarða króna. Almennt lækkuðu tekjur helstu tekjustofna",2.7,2009,nan,0.0027
